 DAILY WATER BALANCE - HOURLY SEEPAGE UPDATE FROM UI

 J=julian day, Y=simulation year
 P= precipitation       
 RM=rainfall+irrigation+snowmelt
 Q=daily runoff over eff length, Ep=plant transpiration
 Es=soil evaporation, Er=residue evaporation
 Dp=deep percolationlatqcc=lateral subsurface flow 
 UpStrmQ=Runon added to OFE
 SubRIn=Subsurface runon added to OFE
 Total Soil Water=Unfrozen water in soil profile
 frozwt=Frozen water in soil profile
 Snow Water=Water in surface snow
 QOFE=daily runoff scaled to single OFE 
 Tile=Tile drainage (mm)
 Irr=Irigation (mm)
 Area=Area that depths apply over (m^2)

 ----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  OFE    J    Y      P      RM     Q                Ep      Es      Er     Dp       UpStrmQ   SubRIn    latqcc Total-Soil frozwt Snow-Water QOFE            Tile    Irr        Area
  #      -    -      mm     mm     mm               mm      mm      mm       mm      mm           mm      mm   Water(mm)   mm        mm      mm             mm      mm         m^2
 ----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------

     1    1 1990   15.70    0.00   0.0000000E+00    1.29    0.00    0.00   18.10   0.0000000E+00    0.00    0.75  371.42    0.00   15.70    0.0000000E+00    0.00    0.00    7200.00
     1    2 1990    8.40    0.00   0.0000000E+00    0.14    0.00    0.00   15.53   0.0000000E+00    0.00    0.62  355.14    0.00   24.10    0.0000000E+00    0.00    0.00    7200.00
     1    3 1990    9.10    0.00   0.0000000E+00    1.29    0.00    0.00   13.99   0.0000000E+00    0.00    0.54  339.32    0.00   33.20    0.0000000E+00    0.00    0.00    7200.00
     1    4 1990   14.00    0.00   0.0000000E+00    0.48    0.00    0.00   13.17   0.0000000E+00    0.00    0.49  325.18    0.00   47.20    0.0000000E+00    0.00    0.00    7200.00
     1    5 1990   13.00    0.00   0.0000000E+00    0.07    0.00    0.00   12.70   0.0000000E+00    0.00    0.47  311.94    0.00   60.20    0.0000000E+00    0.00    0.00    7200.00
     1    6 1990   26.20    0.00   0.0000000E+00    0.86    0.00    0.00   12.30   0.0000000E+00    0.00    0.45  298.33    0.00   86.40    0.0000000E+00    0.00    0.00    7200.00
     1    7 1990   21.60    0.00   0.0000000E+00    0.61    0.00    0.00   11.70   0.0000000E+00    0.00    0.42  285.60    0.00  108.00    0.0000000E+00    0.00    0.00    7200.00
     1    8 1990   26.70    0.00   0.0000000E+00    1.69    0.00    0.00   10.81   0.0000000E+00    0.00    0.37  272.73    0.00  134.70    0.0000000E+00    0.00    0.00    7200.00
     1    9 1990   18.00    0.00   0.0000000E+00    0.15    0.00    0.00    9.62   0.0000000E+00    0.00    0.31  262.65    0.00  152.70    0.0000000E+00    0.00    0.00    7200.00
     1   10 1990   13.50    7.11   0.0000000E+00    0.33    0.00    0.00    8.27   0.0000000E+00    0.00    0.24  260.92    0.00  159.09    0.0000000E+00    0.00    0.00    7200.00
     1   11 1990    0.00    0.00   0.0000000E+00    0.05    0.00    0.00    6.85   0.0000000E+00    0.00    0.16  253.86    0.00  159.09    0.0000000E+00    0.00    0.00    7200.00
     1   12 1990    0.00    0.00   0.0000000E+00    0.47    0.00    0.00    5.58   0.0000000E+00    0.00    0.10  247.72    0.00  159.09    0.0000000E+00    0.00    0.00    7200.00
     1   13 1990    6.10    0.00   0.0000000E+00    0.89    0.00    0.00    4.48   0.0000000E+00    0.00    0.04  242.32    0.00  165.19    0.0000000E+00    0.00    0.00    7200.00
     1   14 1990    7.10    0.00   0.0000000E+00    0.36    0.00    0.00    3.55   0.0000000E+00    0.00    0.00  238.40    0.00  172.29    0.0000000E+00    0.00    0.00    7200.00
     1   15 1990    0.00    0.00   0.0000000E+00    1.06    0.00    0.00    2.85   0.0000000E+00    0.00    0.00  234.50    0.00  172.29    0.0000000E+00    0.00    0.00    7200.00
     1   16 1990    0.00    0.00   0.0000000E+00    0.57    0.00    0.00    2.30   0.0000000E+00    0.00    0.00  231.63    0.00  172.29    0.0000000E+00    0.00    0.00    7200.00
     1   17 1990    0.00    0.00   0.0000000E+00    0.02    0.00    0.00    1.88   0.0000000E+00    0.00    0.00  229.73    0.00  172.29    0.0000000E+00    0.00    0.00    7200.00
     1   18 1990    0.00    0.00   0.0000000E+00    0.23    0.00    0.00    1.53   0.0000000E+00    0.00    0.00  227.98    0.00  172.29    0.0000000E+00    0.00    0.00    7200.00
     1   19 1990    0.00    0.00   0.0000000E+00    0.37    0.00    0.00    1.21   0.0000000E+00    0.00    0.00  226.40    0.00  172.29    0.0000000E+00    0.00    0.00    7200.00
     1   20 1990    0.00    0.00   0.0000000E+00    0.50    0.00    0.00    0.93   0.0000000E+00    0.00    0.00  224.97    0.00  172.29    0.0000000E+00    0.00    0.00    7200.00
     1   21 1990    0.00    0.00   0.0000000E+00    0.08    0.00    0.00    0.81   0.0000000E+00    0.00    0.00  224.08    0.00  172.29    0.0000000E+00    0.00    0.00    7200.00
     1   22 1990   20.80    0.00   0.0000000E+00    0.84    0.00    0.00    0.83   0.0000000E+00    0.00    0.00  222.42    0.00  193.09    0.0000000E+00    0.00    0.00    7200.00
     1   23 1990    9.10    0.00   0.0000000E+00    1.21    0.00    0.00    0.77   0.0000000E+00    0.00    0.00  220.44    0.00  202.19    0.0000000E+00    0.00    0.00    7200.00
     1   24 1990    7.10    0.00   0.0000000E+00    1.22    0.00    0.00    0.58   0.0000000E+00    0.00    0.00  218.64    0.00  209.29    0.0000000E+00    0.00    0.00    7200.00
