 DAILY WATER BALANCE - HOURLY SEEPAGE UPDATE FROM UI

 J=julian day, Y=simulation year
 P= precipitation       
 RM=rainfall+irrigation+snowmelt
 Q=daily runoff over eff length, Ep=plant transpiration
 Es=soil evaporation, Er=residue evaporation
 Dp=deep percolationlatqcc=lateral subsurface flow 
 UpStrmQ=Runon added to OFE
 SubRIn=Subsurface runon added to OFE
 Total Soil Water=Unfrozen water in soil profile
 frozwt=Frozen water in soil profile
 Snow Water=Water in surface snow
 QOFE=daily runoff scaled to single OFE 
 Tile=Tile drainage (mm)
 Irr=Irigation (mm)
 Area=Area that depths apply over (m^2)

 ----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  OFE    J    Y      P      RM     Q                Ep      Es      Er     Dp       UpStrmQ   SubRIn    latqcc Total-Soil frozwt Snow-Water QOFE            Tile    Irr        Area
  #      -    -      mm     mm     mm               mm      mm      mm       mm      mm           mm      mm   Water(mm)   mm        mm      mm             mm      mm         m^2
 ----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------

     1    1 1990   16.30    0.00   0.0000000E+00    1.29    0.00    0.00   18.10   0.0000000E+00    0.00    0.14  372.04    0.00   16.30    0.0000000E+00    0.00    0.00   39600.00
     1    2 1990    8.60    0.00   0.0000000E+00    0.14    0.00    0.00   15.52   0.0000000E+00    0.00    0.11  356.26    0.00   24.90    0.0000000E+00    0.00    0.00   39600.00
     1    3 1990    9.40    0.00   0.0000000E+00    1.29    0.00    0.00   13.97   0.0000000E+00    0.00    0.10  340.90    0.00   34.30    0.0000000E+00    0.00    0.00   39600.00
     1    4 1990   14.20    0.00   0.0000000E+00    0.48    0.00    0.00   13.15   0.0000000E+00    0.00    0.09  327.18    0.00   48.50    0.0000000E+00    0.00    0.00   39600.00
     1    5 1990   13.20    0.00   0.0000000E+00    0.07    0.00    0.00   12.70   0.0000000E+00    0.00    0.09  314.33    0.00   61.70    0.0000000E+00    0.00    0.00   39600.00
     1    6 1990   26.20    0.00   0.0000000E+00    0.91    0.00    0.00   12.33   0.0000000E+00    0.00    0.08  301.00    0.00   87.90    0.0000000E+00    0.00    0.00   39600.00
     1    7 1990   21.60    0.00   0.0000000E+00    0.61    0.00    0.00   11.78   0.0000000E+00    0.00    0.08  288.54    0.00  109.50    0.0000000E+00    0.00    0.00   39600.00
     1    8 1990   27.40    0.00   0.0000000E+00    1.69    0.00    0.00   10.94   0.0000000E+00    0.00    0.07  275.83    0.00  136.90    0.0000000E+00    0.00    0.00   39600.00
     1    9 1990   18.30    0.00   0.0000000E+00    0.15    0.00    0.00    9.81   0.0000000E+00    0.00    0.06  265.82    0.00  155.20    0.0000000E+00    0.00    0.00   39600.00
     1   10 1990   14.00    6.63   0.0000000E+00    0.34    0.00    0.00    8.54   0.0000000E+00    0.00    0.05  263.53    0.00  162.57    0.0000000E+00    0.00    0.00   39600.00
     1   11 1990    0.00    0.00   0.0000000E+00    0.07    0.00    0.00    7.22   0.0000000E+00    0.00    0.03  256.21    0.00  162.57    0.0000000E+00    0.00    0.00   39600.00
