 DAILY WATER BALANCE - HOURLY SEEPAGE UPDATE FROM UI

 J=julian day, Y=simulation year
 P= precipitation       
 RM=rainfall+irrigation+snowmelt
 Q=daily runoff over eff length, Ep=plant transpiration
 Es=soil evaporation, Er=residue evaporation
 Dp=deep percolationlatqcc=lateral subsurface flow 
 UpStrmQ=Runon added to OFE
 SubRIn=Subsurface runon added to OFE
 Total Soil Water=Unfrozen water in soil profile
 frozwt=Frozen water in soil profile
 Snow Water=Water in surface snow
 QOFE=daily runoff scaled to single OFE 
 Tile=Tile drainage (mm)
 Irr=Irigation (mm)
 Area=Area that depths apply over (m^2)

 ----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  OFE    J    Y      P      RM     Q                Ep      Es      Er     Dp       UpStrmQ   SubRIn    latqcc Total-Soil frozwt Snow-Water QOFE            Tile    Irr        Area
  #      -    -      mm     mm     mm               mm      mm      mm       mm      mm           mm      mm   Water(mm)   mm        mm      mm             mm      mm         m^2
 ----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------

     1    1 1990   17.00    0.00   0.0000000E+00    1.27    0.00    0.00   14.96   0.0000000E+00    0.00    0.03  411.04    0.00   17.00    0.0000000E+00    0.00    0.00   55800.00
     1    2 1990   10.20    0.00   0.0000000E+00    0.14    0.00    0.00    8.44   0.0000000E+00    0.00    0.01  402.45    0.00   27.20    0.0000000E+00    0.00    0.00   55800.00
     1    3 1990   10.20    0.00   0.0000000E+00    1.26    0.00    0.00    5.52   0.0000000E+00    0.00    0.01  395.66    0.00   37.40    0.0000000E+00    0.00    0.00   55800.00
     1    4 1990   15.20    0.00   0.0000000E+00    0.47    0.00    0.00    6.44   0.0000000E+00    0.00    0.01  388.74    0.00   52.60    0.0000000E+00    0.00    0.00   55800.00
     1    5 1990   14.20    0.00   0.0000000E+00    0.04    0.00    0.00    8.13   0.0000000E+00    0.00    0.01  380.55    0.00   66.80    0.0000000E+00    0.00    0.00   55800.00
     1    6 1990   28.20    0.00   0.0000000E+00    0.92    0.00    0.00    9.42   0.0000000E+00    0.00    0.02  370.19    0.00   95.00    0.0000000E+00    0.00    0.00   55800.00
     1    7 1990   23.40    0.00   0.0000000E+00    0.62    0.00    0.00   10.01   0.0000000E+00    0.00    0.02  359.54    0.00  118.40    0.0000000E+00    0.00    0.00   55800.00
     1    8 1990   29.20    0.00   0.0000000E+00    1.72    0.00    0.00   10.01   0.0000000E+00    0.00    0.02  347.78    0.00  147.60    0.0000000E+00    0.00    0.00   55800.00
     1    9 1990   19.30    0.00   0.0000000E+00    0.17    0.00    0.00    9.50   0.0000000E+00    0.00    0.02  338.09    0.00  166.90    0.0000000E+00    0.00    0.00   55800.00
     1   10 1990   14.00    5.16   0.0000000E+00    0.33    0.00    0.00    8.70   0.0000000E+00    0.00    0.02  334.21    0.00  175.74    0.0000000E+00    0.00    0.00   55800.00
     1   11 1990    0.00    0.00   0.0000000E+00    0.10    0.00    0.00    7.72   0.0000000E+00    0.00    0.01  326.38    0.00  175.74    0.0000000E+00    0.00    0.00   55800.00
     1   12 1990    0.00    0.00   0.0000000E+00    0.49    0.00    0.00    6.70   0.0000000E+00    0.00    0.01  319.18    0.00  175.74    0.0000000E+00    0.00    0.00   55800.00
     1   13 1990    6.10    0.00   0.0000000E+00    0.93    0.00    0.00    5.73   0.0000000E+00    0.00    0.01  312.51    0.00  181.84    0.0000000E+00    0.00    0.00   55800.00
     1   14 1990    7.10    7.10   0.0000000E+00    0.34    0.00    0.00    4.85   0.0000000E+00    0.00    0.00  314.42    0.00  181.84    0.0000000E+00    0.00    0.00   55800.00
     1   15 1990    0.00    0.00   0.0000000E+00    1.05    0.00    0.00    4.10   0.0000000E+00    0.00    0.00  309.27    0.00  181.84    0.0000000E+00    0.00    0.00   55800.00
     1   16 1990    0.00    0.00   0.0000000E+00    0.47    0.00    0.00    3.46   0.0000000E+00    0.00    0.00  305.34    0.00  181.84    0.0000000E+00    0.00    0.00   55800.00
     1   17 1990    0.00    0.00   0.0000000E+00    0.08    0.00    0.00    2.93   0.0000000E+00    0.00    0.00  302.33    0.00  181.84    0.0000000E+00    0.00    0.00   55800.00
     1   18 1990    0.00    0.00   0.0000000E+00    0.26    0.00    0.00    2.51   0.0000000E+00    0.00    0.00  299.56    0.00  181.84    0.0000000E+00    0.00    0.00   55800.00
     1   19 1990    0.00    0.00   0.0000000E+00    0.46    0.00    0.00    2.17   0.0000000E+00    0.00    0.00  296.93    0.00  181.84    0.0000000E+00    0.00    0.00   55800.00
     1   20 1990    0.00    0.00   0.0000000E+00    0.53    0.00    0.00    1.90   0.0000000E+00    0.00    0.00  294.50    0.00  181.84    0.0000000E+00    0.00    0.00   55800.00
     1   21 1990    0.00    0.00   0.0000000E+00    0.12    0.00    0.00    1.67   0.0000000E+00    0.00    0.00  292.70    0.00  181.84    0.0000000E+00    0.00    0.00   55800.00
     1   22 1990   23.10    0.00   0.0000000E+00    0.90    0.00    0.00    1.47   0.0000000E+00    0.00    0.00  290.34    0.00  204.94    0.0000000E+00    0.00    0.00   55800.00
     1   23 1990   10.20    0.00   0.0000000E+00    1.27    0.00    0.00    1.23   0.0000000E+00    0.00    0.00  287.84    0.00  215.14    0.0000000E+00    0.00    0.00   55800.00
     1   24 1990    8.10    0.00   0.0000000E+00    1.28    0.00    0.00    0.95   0.0000000E+00    0.00    0.00  285.60    0.00  223.24    0.0000000E+00    0.00    0.00   55800.00
     1   25 1990   17.00    0.00   0.0000000E+00    0.68    0.00    0.00    0.66   0.0000000E+00    0.00    0.00  284.26    0.00  240.24    0.0000000E+00    0.00    0.00   55800.00
     1   26 1990   11.20    0.00   0.0000000E+00    0.63    0.00    0.00    0.41   0.0000000E+00    0.00    0.00  283.23    0.00  251.44    0.0000000E+00    0.00    0.00   55800.00
     1   27 1990   16.30    0.00   0.0000000E+00    1.11    0.00    0.00    0.21   0.0000000E+00    0.00    0.00  281.91    0.00  267.74    0.0000000E+00    0.00    0.00   55800.00
     1   28 1990   31.20    0.00   0.0000000E+00    2.28    0.00    0.00    0.08   0.0000000E+00    0.00    0.00  279.56    0.00  298.94    0.0000000E+00    0.00    0.00   55800.00
     1   29 1990   23.40    0.00   0.0000000E+00    0.64    0.00    0.00    0.00   0.0000000E+00    0.00    0.00  278.92    0.00  322.34    0.0000000E+00    0.00    0.00   55800.00
     1   30 1990   15.00    0.00   0.0000000E+00    1.48    0.00    0.00    0.00   0.0000000E+00    0.00    0.00  277.44    0.00  337.34    0.0000000E+00    0.00    0.00   55800.00
