 DAILY WATER BALANCE - HOURLY SEEPAGE UPDATE FROM UI

 J=julian day, Y=simulation year
 P= precipitation       
 RM=rainfall+irrigation+snowmelt
 Q=daily runoff over eff length, Ep=plant transpiration
 Es=soil evaporation, Er=residue evaporation
 Dp=deep percolationlatqcc=lateral subsurface flow 
 UpStrmQ=Runon added to OFE
 SubRIn=Subsurface runon added to OFE
 Total Soil Water=Unfrozen water in soil profile
 frozwt=Frozen water in soil profile
 Snow Water=Water in surface snow
 QOFE=daily runoff scaled to single OFE 
 Tile=Tile drainage (mm)
 Irr=Irigation (mm)
 Area=Area that depths apply over (m^2)

 ----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  OFE    J    Y      P      RM     Q                Ep      Es      Er     Dp       UpStrmQ   SubRIn    latqcc Total-Soil frozwt Snow-Water QOFE            Tile    Irr        Area
  #      -    -      mm     mm     mm               mm      mm      mm       mm      mm           mm      mm   Water(mm)   mm        mm      mm             mm      mm         m^2
 ----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------

     1    1 1990   16.00    0.00   0.0000000E+00    1.29    0.00    0.00   18.10   0.0000000E+00    0.00    0.22  371.95    0.00   16.00    0.0000000E+00    0.00    0.00   48600.00
     1    2 1990    8.10    0.00   0.0000000E+00    0.14    0.00    0.00   15.53   0.0000000E+00    0.00    0.18  356.09    0.00   24.10    0.0000000E+00    0.00    0.00   48600.00
     1    3 1990    9.40    0.00   0.0000000E+00    1.29    0.00    0.00   13.99   0.0000000E+00    0.00    0.16  340.65    0.00   33.50    0.0000000E+00    0.00    0.00   48600.00
     1    4 1990   14.00    0.00   0.0000000E+00    0.48    0.00    0.00   13.17   0.0000000E+00    0.00    0.15  326.85    0.00   47.50    0.0000000E+00    0.00    0.00   48600.00
     1    5 1990   13.20    0.00   0.0000000E+00    0.07    0.00    0.00   12.71   0.0000000E+00    0.00    0.14  313.93    0.00   60.70    0.0000000E+00    0.00    0.00   48600.00
     1    6 1990   25.90    0.00   0.0000000E+00    0.86    0.00    0.00   12.33   0.0000000E+00    0.00    0.14  300.60    0.00   86.60    0.0000000E+00    0.00    0.00   48600.00
     1    7 1990   22.10    0.00   0.0000000E+00    0.61    0.00    0.00   11.76   0.0000000E+00    0.00    0.13  288.09    0.00  108.70    0.0000000E+00    0.00    0.00   48600.00
     1    8 1990   27.20    0.00   0.0000000E+00    1.69    0.00    0.00   10.92   0.0000000E+00    0.00    0.11  275.37    0.00  135.90    0.0000000E+00    0.00    0.00   48600.00
     1    9 1990   18.00    0.00   0.0000000E+00    0.15    0.00    0.00    9.78   0.0000000E+00    0.00    0.09  265.35    0.00  153.90    0.0000000E+00    0.00    0.00   48600.00
     1   10 1990   13.70    6.49   0.0000000E+00    0.34    0.00    0.00    8.50   0.0000000E+00    0.00    0.07  262.93    0.00  161.11    0.0000000E+00    0.00    0.00   48600.00
     1   11 1990    0.00    0.00   0.0000000E+00    0.07    0.00    0.00    7.17   0.0000000E+00    0.00    0.05  255.64    0.00  161.11    0.0000000E+00    0.00    0.00   48600.00
     1   12 1990    0.00    0.00   0.0000000E+00    0.47    0.00    0.00    5.98   0.0000000E+00    0.00    0.03  249.16    0.00  161.11    0.0000000E+00    0.00    0.00   48600.00
     1   13 1990    5.80    0.00   0.0000000E+00    0.87    0.00    0.00    4.91   0.0000000E+00    0.00    0.02  243.37    0.00  166.91    0.0000000E+00    0.00    0.00   48600.00
     1   14 1990    7.10    0.00   0.0000000E+00    0.36    0.00    0.00    3.93   0.0000000E+00    0.00    0.00  239.07    0.00  174.01    0.0000000E+00    0.00    0.00   48600.00
     1   15 1990    0.00    0.00   0.0000000E+00    1.06    0.00    0.00    3.14   0.0000000E+00    0.00    0.00  234.87    0.00  174.01    0.0000000E+00    0.00    0.00   48600.00
     1   16 1990    0.00    0.00   0.0000000E+00    0.57    0.00    0.00    2.50   0.0000000E+00    0.00    0.00  231.80    0.00  174.01    0.0000000E+00    0.00    0.00   48600.00
     1   17 1990    0.00    0.00   0.0000000E+00    0.02    0.00    0.00    2.00   0.0000000E+00    0.00    0.00  229.78    0.00  174.01    0.0000000E+00    0.00    0.00   48600.00
     1   18 1990    0.00    0.00   0.0000000E+00    0.23    0.00    0.00    1.59   0.0000000E+00    0.00    0.00  227.96    0.00  174.01    0.0000000E+00    0.00    0.00   48600.00
     1   19 1990    0.00    0.00   0.0000000E+00    0.37    0.00    0.00    1.24   0.0000000E+00    0.00    0.00  226.35    0.00  174.01    0.0000000E+00    0.00    0.00   48600.00
     1   20 1990    0.00    0.00   0.0000000E+00    0.50    0.00    0.00    0.95   0.0000000E+00    0.00    0.00  224.90    0.00  174.01    0.0000000E+00    0.00    0.00   48600.00
     1   21 1990    0.00    0.00   0.0000000E+00    0.08    0.00    0.00    0.80   0.0000000E+00    0.00    0.00  224.02    0.00  174.01    0.0000000E+00    0.00    0.00   48600.00
