 DAILY WATER BALANCE - HOURLY SEEPAGE UPDATE FROM UI

 J=julian day, Y=simulation year
 P= precipitation       
 RM=rainfall+irrigation+snowmelt
 Q=daily runoff over eff length, Ep=plant transpiration
 Es=soil evaporation, Er=residue evaporation
 Dp=deep percolationlatqcc=lateral subsurface flow 
 UpStrmQ=Runon added to OFE
 SubRIn=Subsurface runon added to OFE
 Total Soil Water=Unfrozen water in soil profile
 frozwt=Frozen water in soil profile
 Snow Water=Water in surface snow
 QOFE=daily runoff scaled to single OFE 
 Tile=Tile drainage (mm)
 Irr=Irigation (mm)
 Area=Area that depths apply over (m^2)

 ----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  OFE    J    Y      P      RM     Q                Ep      Es      Er     Dp       UpStrmQ   SubRIn    latqcc Total-Soil frozwt Snow-Water QOFE            Tile    Irr        Area
  #      -    -      mm     mm     mm               mm      mm      mm       mm      mm           mm      mm   Water(mm)   mm        mm      mm             mm      mm         m^2
 ----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------

     1    1 1990   15.20    0.00   0.0000000E+00    1.27    0.00    0.00   18.10   0.0000000E+00    0.00    0.17  372.02    0.00   15.20    0.0000000E+00    0.00    0.00  179100.00
     1    2 1990    8.10    0.00   0.0000000E+00    0.19    0.00    0.00   15.53   0.0000000E+00    0.00    0.14  356.17    0.00   23.30    0.0000000E+00    0.00    0.00  179100.00
     1    3 1990    8.90    0.00   0.0000000E+00    1.32    0.00    0.00   13.97   0.0000000E+00    0.00    0.12  340.76    0.00   32.20    0.0000000E+00    0.00    0.00  179100.00
     1    4 1990   14.00    0.00   0.0000000E+00    0.48    0.00    0.00   13.15   0.0000000E+00    0.00    0.11  327.02    0.00   46.20    0.0000000E+00    0.00    0.00  179100.00
     1    5 1990   13.00    0.00   0.0000000E+00    0.06    0.00    0.00   12.70   0.0000000E+00    0.00    0.11  314.16    0.00   59.20    0.0000000E+00    0.00    0.00  179100.00
     1    6 1990   25.90    0.00   0.0000000E+00    0.86    0.00    0.00   12.33   0.0000000E+00    0.00    0.10  300.87    0.00   85.10    0.0000000E+00    0.00    0.00  179100.00
     1    7 1990   21.10    0.00   0.0000000E+00    0.61    0.00    0.00   11.77   0.0000000E+00    0.00    0.10  288.39    0.00  106.20    0.0000000E+00    0.00    0.00  179100.00
     1    8 1990   26.20    0.00   0.0000000E+00    1.75    0.00    0.00   10.94   0.0000000E+00    0.00    0.09  275.62    0.00  132.40    0.0000000E+00    0.00    0.00  179100.00
     1    9 1990   18.00    0.00   0.0000000E+00    0.15    0.00    0.00    9.80   0.0000000E+00    0.00    0.07  265.61    0.00  150.40    0.0000000E+00    0.00    0.00  179100.00
     1   10 1990   13.20    7.64   0.0000000E+00    0.35    0.00    0.00    8.52   0.0000000E+00    0.00    0.06  264.32    0.00  155.96    0.0000000E+00    0.00    0.00  179100.00
     1   11 1990    0.00    0.00   0.0000000E+00    0.05    0.00    0.00    7.19   0.0000000E+00    0.00    0.04  257.04    0.00  155.96    0.0000000E+00    0.00    0.00  179100.00
     1   12 1990    0.00    0.00   0.0000000E+00    0.50    0.00    0.00    5.94   0.0000000E+00    0.00    0.03  250.57    0.00  155.96    0.0000000E+00    0.00    0.00  179100.00
     1   13 1990    6.10    0.00   0.0000000E+00    0.83    0.00    0.00    4.84   0.0000000E+00    0.00    0.01  244.88    0.00  162.06    0.0000000E+00    0.00    0.00  179100.00
     1   14 1990    7.10    0.00   0.0000000E+00    0.36    0.00    0.00    3.91   0.0000000E+00    0.00    0.00  240.61    0.00  169.16    0.0000000E+00    0.00    0.00  179100.00
     1   15 1990    0.00    0.00   0.0000000E+00    1.04    0.00    0.00    3.18   0.0000000E+00    0.00    0.00  236.39    0.00  169.16    0.0000000E+00    0.00    0.00  179100.00
     1   16 1990    0.00    0.00   0.0000000E+00    0.54    0.00    0.00    2.60   0.0000000E+00    0.00    0.00  233.25    0.00  169.16    0.0000000E+00    0.00    0.00  179100.00
     1   17 1990    0.00    0.00   0.0000000E+00    0.04    0.00    0.00    2.16   0.0000000E+00    0.00    0.00  231.05    0.00  169.16    0.0000000E+00    0.00    0.00  179100.00
     1   18 1990    0.00    0.00   0.0000000E+00    0.22    0.00    0.00    1.78   0.0000000E+00    0.00    0.00  229.05    0.00  169.16    0.0000000E+00    0.00    0.00  179100.00
     1   19 1990    0.00    0.00   0.0000000E+00    0.37    0.00    0.00    1.43   0.0000000E+00    0.00    0.00  227.25    0.00  169.16    0.0000000E+00    0.00    0.00  179100.00
     1   20 1990    0.00    0.00   0.0000000E+00    0.50    0.00    0.00    1.09   0.0000000E+00    0.00    0.00  225.66    0.00  169.16    0.0000000E+00    0.00    0.00  179100.00
     1   21 1990    0.00    0.00   0.0000000E+00    0.06    0.00    0.00    0.81   0.0000000E+00    0.00    0.00  224.79    0.00  169.16    0.0000000E+00    0.00    0.00  179100.00
     1   22 1990   20.80    0.00   0.0000000E+00    0.84    0.00    0.00    0.69   0.0000000E+00    0.00    0.00  223.26    0.00  189.96    0.0000000E+00    0.00    0.00  179100.00
     1   23 1990    8.90    0.00   0.0000000E+00    1.26    0.00    0.00    0.59   0.0000000E+00    0.00    0.00  221.41    0.00  198.86    0.0000000E+00    0.00    0.00  179100.00
     1   24 1990    7.10    0.00   0.0000000E+00    1.22    0.00    0.00    0.42   0.0000000E+00    0.00    0.00  219.78    0.00  205.96    0.0000000E+00    0.00    0.00  179100.00
