 DAILY WATER BALANCE - HOURLY SEEPAGE UPDATE FROM UI

 J=julian day, Y=simulation year
 P= precipitation       
 RM=rainfall+irrigation+snowmelt
 Q=daily runoff over eff length, Ep=plant transpiration
 Es=soil evaporation, Er=residue evaporation
 Dp=deep percolationlatqcc=lateral subsurface flow 
 UpStrmQ=Runon added to OFE
 SubRIn=Subsurface runon added to OFE
 Total Soil Water=Unfrozen water in soil profile
 frozwt=Frozen water in soil profile
 Snow Water=Water in surface snow
 QOFE=daily runoff scaled to single OFE 
 Tile=Tile drainage (mm)
 Irr=Irigation (mm)
 Area=Area that depths apply over (m^2)

 ----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  OFE    J    Y      P      RM     Q                Ep      Es      Er     Dp       UpStrmQ   SubRIn    latqcc Total-Soil frozwt Snow-Water QOFE            Tile    Irr        Area
  #      -    -      mm     mm     mm               mm      mm      mm       mm      mm           mm      mm   Water(mm)   mm        mm      mm             mm      mm         m^2
 ----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------

     1    1 1990   16.00    0.00   0.0000000E+00    1.29    0.00    0.00   11.57   0.0000000E+00    0.00    0.20  383.67    0.00   16.00    0.0000000E+00    0.00    0.00   25200.00
     1    2 1990    8.90    0.00   0.0000000E+00    0.16    0.00    0.00   11.71   0.0000000E+00    0.00    0.21  371.59    0.00   24.90    0.0000000E+00    0.00    0.00   25200.00
     1    3 1990    8.90    0.00   0.0000000E+00    1.29    0.00    0.00   12.70   0.0000000E+00    0.00    0.23  357.38    0.00   33.80    0.0000000E+00    0.00    0.00   25200.00
     1    4 1990   14.00    0.00   0.0000000E+00    0.48    0.00    0.00   14.11   0.0000000E+00    0.00    0.27  342.52    0.00   47.80    0.0000000E+00    0.00    0.00   25200.00
     1    5 1990   13.00    0.00   0.0000000E+00    0.07    0.00    0.00   15.15   0.0000000E+00    0.00    0.30  327.00    0.00   60.80    0.0000000E+00    0.00    0.00   25200.00
     1    6 1990   26.90    0.00   0.0000000E+00    0.86    0.00    0.00   15.58   0.0000000E+00    0.00    0.31  310.25    0.00   87.70    0.0000000E+00    0.00    0.00   25200.00
     1    7 1990   21.80    0.00   0.0000000E+00    0.63    0.00    0.00   15.34   0.0000000E+00    0.00    0.30  293.98    0.00  109.50    0.0000000E+00    0.00    0.00   25200.00
     1    8 1990   26.90    0.00   0.0000000E+00    1.69    0.00    0.00   14.52   0.0000000E+00    0.00    0.28  277.49    0.00  136.40    0.0000000E+00    0.00    0.00   25200.00
     1    9 1990   18.00    0.00   0.0000000E+00    0.20    0.00    0.00   13.15   0.0000000E+00    0.00    0.24  263.89    0.00  154.40    0.0000000E+00    0.00    0.00   25200.00
     1   10 1990   13.00    6.84   0.0000000E+00    0.36    0.00    0.00   11.46   0.0000000E+00    0.00    0.20  258.72    0.00  160.56    0.0000000E+00    0.00    0.00   25200.00
     1   11 1990    0.00    0.00   0.0000000E+00    0.13    0.00    0.00    9.58   0.0000000E+00    0.00    0.15  248.86    0.00  160.56    0.0000000E+00    0.00    0.00   25200.00
     1   12 1990    0.00    0.00   0.0000000E+00    0.51    0.00    0.00    7.75   0.0000000E+00    0.00    0.10  240.50    0.00  160.56    0.0000000E+00    0.00    0.00   25200.00
     1   13 1990    6.10    0.00   0.0000000E+00    0.89    0.00    0.00    6.11   0.0000000E+00    0.00    0.06  233.43    0.00  166.66    0.0000000E+00    0.00    0.00   25200.00
     1   14 1990    7.10    0.00   0.0000000E+00    0.36    0.00    0.00    4.76   0.0000000E+00    0.00    0.03  228.29    0.00  173.76    0.0000000E+00    0.00    0.00   25200.00
     1   15 1990    0.00    0.00   0.0000000E+00    1.06    0.00    0.00    3.72   0.0000000E+00    0.00    0.00  223.50    0.00  173.76    0.0000000E+00    0.00    0.00   25200.00
     1   16 1990    0.00    0.00   0.0000000E+00    0.64    0.00    0.00    2.91   0.0000000E+00    0.00    0.00  219.96    0.00  173.76    0.0000000E+00    0.00    0.00   25200.00
     1   17 1990    0.00    0.00   0.0000000E+00    0.08    0.00    0.00    2.26   0.0000000E+00    0.00    0.00  217.62    0.00  173.76    0.0000000E+00    0.00    0.00   25200.00
     1   18 1990    0.00    0.00   0.0000000E+00    0.27    0.00    0.00    1.72   0.0000000E+00    0.00    0.00  215.63    0.00  173.76    0.0000000E+00    0.00    0.00   25200.00
     1   19 1990    0.00    0.00   0.0000000E+00    0.44    0.00    0.00    1.21   0.0000000E+00    0.00    0.00  213.98    0.00  173.76    0.0000000E+00    0.00    0.00   25200.00
     1   20 1990    0.00    0.00   0.0000000E+00    0.53    0.00    0.00    0.83   0.0000000E+00    0.00    0.00  212.62    0.00  173.76    0.0000000E+00    0.00    0.00   25200.00
     1   21 1990    0.00    0.00   0.0000000E+00    0.14    0.00    0.00    0.57   0.0000000E+00    0.00    0.00  211.91    0.00  173.76    0.0000000E+00    0.00    0.00   25200.00
     1   22 1990   20.80    0.00   0.0000000E+00    0.92    0.00    0.00    0.43   0.0000000E+00    0.00    0.00  210.56    0.00  194.56    0.0000000E+00    0.00    0.00   25200.00
     1   23 1990    8.90    0.00   0.0000000E+00    1.31    0.00    0.00    0.36   0.0000000E+00    0.00    0.00  208.88    0.00  203.46    0.0000000E+00    0.00    0.00   25200.00
     1   24 1990    6.90    0.00   0.0000000E+00    1.32    0.00    0.00    0.29   0.0000000E+00    0.00    0.00  207.27    0.00  210.36    0.0000000E+00    0.00    0.00   25200.00
     1   25 1990   16.00    0.00   0.0000000E+00    0.70    0.00    0.00    0.18   0.0000000E+00    0.00    0.00  206.39    0.00  226.36    0.0000000E+00    0.00    0.00   25200.00
     1   26 1990    8.90    0.00   0.0000000E+00    0.59    0.00    0.00    0.09   0.0000000E+00    0.00    0.00  205.71    0.00  235.26    0.0000000E+00    0.00    0.00   25200.00
     1   27 1990   14.00    0.00   0.0000000E+00    1.13    0.00    0.00    0.03   0.0000000E+00    0.00    0.00  204.56    0.00  249.26    0.0000000E+00    0.00    0.00   25200.00
     1   28 1990   29.00    0.00   0.0000000E+00    2.32    0.00    0.00    0.00   0.0000000E+00    0.00    0.00  202.24    0.00  278.26    0.0000000E+00    0.00    0.00   25200.00
     1   29 1990   20.80    0.00   0.0000000E+00    0.67    0.00    0.00    0.00   0.0000000E+00    0.00    0.00  201.57    0.00  299.06    0.0000000E+00    0.00    0.00   25200.00
