 DAILY WATER BALANCE - HOURLY SEEPAGE UPDATE FROM UI

 J=julian day, Y=simulation year
 P= precipitation       
 RM=rainfall+irrigation+snowmelt
 Q=daily runoff over eff length, Ep=plant transpiration
 Es=soil evaporation, Er=residue evaporation
 Dp=deep percolationlatqcc=lateral subsurface flow 
 UpStrmQ=Runon added to OFE
 SubRIn=Subsurface runon added to OFE
 Total Soil Water=Unfrozen water in soil profile
 frozwt=Frozen water in soil profile
 Snow Water=Water in surface snow
 QOFE=daily runoff scaled to single OFE 
 Tile=Tile drainage (mm)
 Irr=Irigation (mm)
 Area=Area that depths apply over (m^2)

 ----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  OFE    J    Y      P      RM     Q                Ep      Es      Er     Dp       UpStrmQ   SubRIn    latqcc Total-Soil frozwt Snow-Water QOFE            Tile    Irr        Area
  #      -    -      mm     mm     mm               mm      mm      mm       mm      mm           mm      mm   Water(mm)   mm        mm      mm             mm      mm         m^2
 ----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------

     1    1 1990   16.50    0.00   0.0000000E+00    1.29    0.00    0.00   18.10   0.0000000E+00    0.00    0.21  371.96    0.00   16.50    0.0000000E+00    0.00    0.00   56700.00
     1    2 1990    8.40    0.00   0.0000000E+00    0.17    0.00    0.00   15.52   0.0000000E+00    0.00    0.17  356.10    0.00   24.90    0.0000000E+00    0.00    0.00   56700.00
     1    3 1990    9.70    0.00   0.0000000E+00    1.24    0.00    0.00   13.97   0.0000000E+00    0.00    0.15  340.73    0.00   34.60    0.0000000E+00    0.00    0.00   56700.00
     1    4 1990   14.50    0.00   0.0000000E+00    0.47    0.00    0.00   13.15   0.0000000E+00    0.00    0.14  326.98    0.00   49.10    0.0000000E+00    0.00    0.00   56700.00
     1    5 1990   13.50    0.00   0.0000000E+00    0.07    0.00    0.00   12.70   0.0000000E+00    0.00    0.13  314.08    0.00   62.60    0.0000000E+00    0.00    0.00   56700.00
     1    6 1990   26.40    0.00   0.0000000E+00    0.91    0.00    0.00   12.33   0.0000000E+00    0.00    0.13  300.72    0.00   89.00    0.0000000E+00    0.00    0.00   56700.00
     1    7 1990   22.40    0.00   0.0000000E+00    0.57    0.00    0.00   11.77   0.0000000E+00    0.00    0.12  288.26    0.00  111.40    0.0000000E+00    0.00    0.00   56700.00
     1    8 1990   27.70    0.00   0.0000000E+00    1.69    0.00    0.00   10.93   0.0000000E+00    0.00    0.11  275.53    0.00  139.10    0.0000000E+00    0.00    0.00   56700.00
     1    9 1990   18.50    0.00   0.0000000E+00    0.17    0.00    0.00    9.79   0.0000000E+00    0.00    0.09  265.48    0.00  157.60    0.0000000E+00    0.00    0.00   56700.00
     1   10 1990   13.70    6.49   0.0000000E+00    0.34    0.00    0.00    8.51   0.0000000E+00    0.00    0.07  263.05    0.00  164.81    0.0000000E+00    0.00    0.00   56700.00
