 DAILY WATER BALANCE - HOURLY SEEPAGE UPDATE FROM UI

 J=julian day, Y=simulation year
 P= precipitation       
 RM=rainfall+irrigation+snowmelt
 Q=daily runoff over eff length, Ep=plant transpiration
 Es=soil evaporation, Er=residue evaporation
 Dp=deep percolationlatqcc=lateral subsurface flow 
 UpStrmQ=Runon added to OFE
 SubRIn=Subsurface runon added to OFE
 Total Soil Water=Unfrozen water in soil profile
 frozwt=Frozen water in soil profile
 Snow Water=Water in surface snow
 QOFE=daily runoff scaled to single OFE 
 Tile=Tile drainage (mm)
 Irr=Irigation (mm)
 Area=Area that depths apply over (m^2)

 ----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  OFE    J    Y      P      RM     Q                Ep      Es      Er     Dp       UpStrmQ   SubRIn    latqcc Total-Soil frozwt Snow-Water QOFE            Tile    Irr        Area
  #      -    -      mm     mm     mm               mm      mm      mm       mm      mm           mm      mm   Water(mm)   mm        mm      mm             mm      mm         m^2
 ----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------

     1    1 1990   16.30    0.00   0.0000000E+00    1.29    0.00    0.00   11.57   0.0000000E+00    0.00    0.07  383.80    0.00   16.30    0.0000000E+00    0.00    0.00   80100.00
     1    2 1990    9.10    0.00   0.0000000E+00    0.18    0.00    0.00   11.71   0.0000000E+00    0.00    0.08  371.83    0.00   25.40    0.0000000E+00    0.00    0.00   80100.00
     1    3 1990    9.10    0.00   0.0000000E+00    1.30    0.00    0.00   12.70   0.0000000E+00    0.00    0.09  357.75    0.00   34.50    0.0000000E+00    0.00    0.00   80100.00
     1    4 1990   14.20    0.00   0.0000000E+00    0.48    0.00    0.00   14.11   0.0000000E+00    0.00    0.10  343.06    0.00   48.70    0.0000000E+00    0.00    0.00   80100.00
     1    5 1990   13.20    0.00   0.0000000E+00    0.07    0.00    0.00   15.15   0.0000000E+00    0.00    0.11  327.73    0.00   61.90    0.0000000E+00    0.00    0.00   80100.00
     1    6 1990   27.20    0.00   0.0000000E+00    0.91    0.00    0.00   15.58   0.0000000E+00    0.00    0.11  311.13    0.00   89.10    0.0000000E+00    0.00    0.00   80100.00
     1    7 1990   22.10    0.00   0.0000000E+00    0.63    0.00    0.00   15.35   0.0000000E+00    0.00    0.11  295.04    0.00  111.20    0.0000000E+00    0.00    0.00   80100.00
     1    8 1990   27.40    0.00   0.0000000E+00    1.69    0.00    0.00   14.54   0.0000000E+00    0.00    0.10  278.70    0.00  138.60    0.0000000E+00    0.00    0.00   80100.00
     1    9 1990   18.30    0.00   0.0000000E+00    0.20    0.00    0.00   13.20   0.0000000E+00    0.00    0.09  265.22    0.00  156.90    0.0000000E+00    0.00    0.00   80100.00
     1   10 1990   13.20    6.25   0.0000000E+00    0.36    0.00    0.00   11.53   0.0000000E+00    0.00    0.07  259.50    0.00  163.85    0.0000000E+00    0.00    0.00   80100.00
     1   11 1990    0.00    0.00   0.0000000E+00    0.14    0.00    0.00    9.63   0.0000000E+00    0.00    0.06  249.67    0.00  163.85    0.0000000E+00    0.00    0.00   80100.00
     1   12 1990    0.00    0.00   0.0000000E+00    0.51    0.00    0.00    7.75   0.0000000E+00    0.00    0.04  241.38    0.00  163.85    0.0000000E+00    0.00    0.00   80100.00
     1   13 1990    6.10    0.00   0.0000000E+00    0.89    0.00    0.00    6.30   0.0000000E+00    0.00    0.02  234.16    0.00  169.95    0.0000000E+00    0.00    0.00   80100.00
     1   14 1990    7.10    0.00   0.0000000E+00    0.36    0.00    0.00    5.11   0.0000000E+00    0.00    0.01  228.67    0.00  177.05    0.0000000E+00    0.00    0.00   80100.00
     1   15 1990    0.00    0.00   0.0000000E+00    1.03    0.00    0.00    4.11   0.0000000E+00    0.00    0.00  223.52    0.00  177.05    0.0000000E+00    0.00    0.00   80100.00
     1   16 1990    0.00    0.00   0.0000000E+00    0.50    0.00    0.00    3.23   0.0000000E+00    0.00    0.00  219.78    0.00  177.05    0.0000000E+00    0.00    0.00   80100.00
     1   17 1990    0.00    0.00   0.0000000E+00    0.08    0.00    0.00    2.46   0.0000000E+00    0.00    0.00  217.24    0.00  177.05    0.0000000E+00    0.00    0.00   80100.00
     1   18 1990    0.00    0.00   0.0000000E+00    0.27    0.00    0.00    1.75   0.0000000E+00    0.00    0.00  215.22    0.00  177.05    0.0000000E+00    0.00    0.00   80100.00
     1   19 1990    0.00    0.00   0.0000000E+00    0.44    0.00    0.00    1.20   0.0000000E+00    0.00    0.00  213.58    0.00  177.05    0.0000000E+00    0.00    0.00   80100.00
     1   20 1990    0.00    0.00   0.0000000E+00    0.53    0.00    0.00    0.88   0.0000000E+00    0.00    0.00  212.16    0.00  177.05    0.0000000E+00    0.00    0.00   80100.00
     1   21 1990    0.00    0.00   0.0000000E+00    0.14    0.00    0.00    0.79   0.0000000E+00    0.00    0.00  211.23    0.00  177.05    0.0000000E+00    0.00    0.00   80100.00
     1   22 1990   21.30    0.00   0.0000000E+00    0.88    0.00    0.00    0.82   0.0000000E+00    0.00    0.00  209.53    0.00  198.35    0.0000000E+00    0.00    0.00   80100.00
     1   23 1990    9.10    0.00   0.0000000E+00    1.31    0.00    0.00    0.86   0.0000000E+00    0.00    0.00  207.35    0.00  207.45    0.0000000E+00    0.00    0.00   80100.00
     1   24 1990    7.10    0.00   0.0000000E+00    1.33    0.00    0.00    0.80   0.0000000E+00    0.00    0.00  205.22    0.00  214.55    0.0000000E+00    0.00    0.00   80100.00
     1   25 1990   16.30    0.00   0.0000000E+00    0.70    0.00    0.00    0.63   0.0000000E+00    0.00    0.00  203.88    0.00  230.85    0.0000000E+00    0.00    0.00   80100.00
     1   26 1990    9.40    0.00   0.0000000E+00    0.57    0.00    0.00    0.42   0.0000000E+00    0.00    0.00  202.89    0.00  240.25    0.0000000E+00    0.00    0.00   80100.00
     1   27 1990   14.50    0.00   0.0000000E+00    1.17    0.00    0.00    0.24   0.0000000E+00    0.00    0.00  201.48    0.00  254.75    0.0000000E+00    0.00    0.00   80100.00
