 DAILY WATER BALANCE - HOURLY SEEPAGE UPDATE FROM UI

 J=julian day, Y=simulation year
 P= precipitation       
 RM=rainfall+irrigation+snowmelt
 Q=daily runoff over eff length, Ep=plant transpiration
 Es=soil evaporation, Er=residue evaporation
 Dp=deep percolationlatqcc=lateral subsurface flow 
 UpStrmQ=Runon added to OFE
 SubRIn=Subsurface runon added to OFE
 Total Soil Water=Unfrozen water in soil profile
 frozwt=Frozen water in soil profile
 Snow Water=Water in surface snow
 QOFE=daily runoff scaled to single OFE 
 Tile=Tile drainage (mm)
 Irr=Irigation (mm)
 Area=Area that depths apply over (m^2)

 ----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  OFE    J    Y      P      RM     Q                Ep      Es      Er     Dp       UpStrmQ   SubRIn    latqcc Total-Soil frozwt Snow-Water QOFE            Tile    Irr        Area
  #      -    -      mm     mm     mm               mm      mm      mm       mm      mm           mm      mm   Water(mm)   mm        mm      mm             mm      mm         m^2
 ----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------

     1    1 1990   17.00    0.00   0.0000000E+00    1.27    0.00    0.00   14.95   0.0000000E+00    0.00    0.07  411.00    0.00   17.00    0.0000000E+00    0.00    0.00  109800.00
     1    2 1990    9.90    0.00   0.0000000E+00    0.14    0.00    0.00    8.45   0.0000000E+00    0.00    0.03  402.39    0.00   26.90    0.0000000E+00    0.00    0.00  109800.00
     1    3 1990    9.90    0.00   0.0000000E+00    1.26    0.00    0.00    5.51   0.0000000E+00    0.00    0.01  395.61    0.00   36.80    0.0000000E+00    0.00    0.00  109800.00
     1    4 1990   15.00    0.00   0.0000000E+00    0.47    0.00    0.00    6.43   0.0000000E+00    0.00    0.02  388.69    0.00   51.80    0.0000000E+00    0.00    0.00  109800.00
     1    5 1990   14.00    0.00   0.0000000E+00    0.04    0.00    0.00    8.13   0.0000000E+00    0.00    0.03  380.49    0.00   65.80    0.0000000E+00    0.00    0.00  109800.00
     1    6 1990   27.90    0.00   0.0000000E+00    0.92    0.00    0.00    9.41   0.0000000E+00    0.00    0.04  370.12    0.00   93.70    0.0000000E+00    0.00    0.00  109800.00
     1    7 1990   22.90    0.00   0.0000000E+00    0.59    0.00    0.00   10.01   0.0000000E+00    0.00    0.04  359.47    0.00  116.60    0.0000000E+00    0.00    0.00  109800.00
     1    8 1990   29.00    0.00   0.0000000E+00    1.72    0.00    0.00   10.01   0.0000000E+00    0.00    0.04  347.70    0.00  145.60    0.0000000E+00    0.00    0.00  109800.00
     1    9 1990   19.00    0.00   0.0000000E+00    0.17    0.00    0.00    9.50   0.0000000E+00    0.00    0.04  337.99    0.00  164.60    0.0000000E+00    0.00    0.00  109800.00
     1   10 1990   14.00    5.89   0.0000000E+00    0.32    0.00    0.00    8.70   0.0000000E+00    0.00    0.03  334.83    0.00  172.71    0.0000000E+00    0.00    0.00  109800.00
     1   11 1990    0.00    0.00   0.0000000E+00    0.10    0.00    0.00    7.71   0.0000000E+00    0.00    0.03  326.99    0.00  172.71    0.0000000E+00    0.00    0.00  109800.00
