 DAILY WATER BALANCE - HOURLY SEEPAGE UPDATE FROM UI

 J=julian day, Y=simulation year
 P= precipitation       
 RM=rainfall+irrigation+snowmelt
 Q=daily runoff over eff length, Ep=plant transpiration
 Es=soil evaporation, Er=residue evaporation
 Dp=deep percolationlatqcc=lateral subsurface flow 
 UpStrmQ=Runon added to OFE
 SubRIn=Subsurface runon added to OFE
 Total Soil Water=Unfrozen water in soil profile
 frozwt=Frozen water in soil profile
 Snow Water=Water in surface snow
 QOFE=daily runoff scaled to single OFE 
 Tile=Tile drainage (mm)
 Irr=Irigation (mm)
 Area=Area that depths apply over (m^2)

 ----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  OFE    J    Y      P      RM     Q                Ep      Es      Er     Dp       UpStrmQ   SubRIn    latqcc Total-Soil frozwt Snow-Water QOFE            Tile    Irr        Area
  #      -    -      mm     mm     mm               mm      mm      mm       mm      mm           mm      mm   Water(mm)   mm        mm      mm             mm      mm         m^2
 ----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------

     1    1 1990   16.80    0.00   0.0000000E+00    1.34    0.00    0.00   18.11   0.0000000E+00    0.00    0.17  371.95    0.00   16.80    0.0000000E+00    0.00    0.00   89100.00
     1    2 1990    8.60    0.00   0.0000000E+00    0.12    0.00    0.00   15.55   0.0000000E+00    0.00    0.14  356.14    0.00   25.40    0.0000000E+00    0.00    0.00   89100.00
     1    3 1990    9.70    0.00   0.0000000E+00    1.26    0.00    0.00   14.02   0.0000000E+00    0.00    0.12  340.74    0.00   35.10    0.0000000E+00    0.00    0.00   89100.00
     1    4 1990   14.70    0.00   0.0000000E+00    0.47    0.00    0.00   13.19   0.0000000E+00    0.00    0.11  326.97    0.00   49.80    0.0000000E+00    0.00    0.00   89100.00
     1    5 1990   13.70    0.00   0.0000000E+00    0.07    0.00    0.00   12.73   0.0000000E+00    0.00    0.11  314.06    0.00   63.50    0.0000000E+00    0.00    0.00   89100.00
     1    6 1990   26.90    0.00   0.0000000E+00    0.91    0.00    0.00   12.34   0.0000000E+00    0.00    0.10  300.71    0.00   90.40    0.0000000E+00    0.00    0.00   89100.00
     1    7 1990   22.60    0.00   0.0000000E+00    0.57    0.00    0.00   11.77   0.0000000E+00    0.00    0.10  288.28    0.00  113.00    0.0000000E+00    0.00    0.00   89100.00
     1    8 1990   27.90    0.00   0.0000000E+00    1.69    0.00    0.00   10.92   0.0000000E+00    0.00    0.09  275.58    0.00  140.90    0.0000000E+00    0.00    0.00   89100.00
     1    9 1990   18.80    0.00   0.0000000E+00    0.15    0.00    0.00    9.78   0.0000000E+00    0.00    0.07  265.58    0.00  159.70    0.0000000E+00    0.00    0.00   89100.00
     1   10 1990   13.70    6.49   0.0000000E+00    0.32    0.00    0.00    8.51   0.0000000E+00    0.00    0.06  263.18    0.00  166.91    0.0000000E+00    0.00    0.00   89100.00
     1   11 1990    0.00    0.00   0.0000000E+00    0.05    0.00    0.00    7.18   0.0000000E+00    0.00    0.04  255.92    0.00  166.91    0.0000000E+00    0.00    0.00   89100.00
     1   12 1990    0.00    0.00   0.0000000E+00    0.47    0.00    0.00    5.96   0.0000000E+00    0.00    0.03  249.46    0.00  166.91    0.0000000E+00    0.00    0.00   89100.00
     1   13 1990    5.80    0.00   0.0000000E+00    0.89    0.00    0.00    4.89   0.0000000E+00    0.00    0.01  243.67    0.00  172.71    0.0000000E+00    0.00    0.00   89100.00
     1   14 1990    7.10    0.00   0.0000000E+00    0.35    0.00    0.00    3.95   0.0000000E+00    0.00    0.00  239.38    0.00  179.81    0.0000000E+00    0.00    0.00   89100.00
