 DAILY WATER BALANCE - HOURLY SEEPAGE UPDATE FROM UI

 J=julian day, Y=simulation year
 P= precipitation       
 RM=rainfall+irrigation+snowmelt
 Q=daily runoff over eff length, Ep=plant transpiration
 Es=soil evaporation, Er=residue evaporation
 Dp=deep percolationlatqcc=lateral subsurface flow 
 UpStrmQ=Runon added to OFE
 SubRIn=Subsurface runon added to OFE
 Total Soil Water=Unfrozen water in soil profile
 frozwt=Frozen water in soil profile
 Snow Water=Water in surface snow
 QOFE=daily runoff scaled to single OFE 
 Tile=Tile drainage (mm)
 Irr=Irigation (mm)
 Area=Area that depths apply over (m^2)

 ----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  OFE    J    Y      P      RM     Q                Ep      Es      Er     Dp       UpStrmQ   SubRIn    latqcc Total-Soil frozwt Snow-Water QOFE            Tile    Irr        Area
  #      -    -      mm     mm     mm               mm      mm      mm       mm      mm           mm      mm   Water(mm)   mm        mm      mm             mm      mm         m^2
 ----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------

     1    1 1990   16.30    0.00   0.0000000E+00    1.29    0.00    0.00   18.10   0.0000000E+00    0.00    0.24  371.93    0.00   16.30    0.0000000E+00    0.00    0.00   49500.00
     1    2 1990    8.40    0.00   0.0000000E+00    0.14    0.00    0.00   15.52   0.0000000E+00    0.00    0.20  356.07    0.00   24.70    0.0000000E+00    0.00    0.00   49500.00
     1    3 1990    9.40    0.00   0.0000000E+00    1.29    0.00    0.00   13.97   0.0000000E+00    0.00    0.17  340.64    0.00   34.10    0.0000000E+00    0.00    0.00   49500.00
     1    4 1990   14.00    0.00   0.0000000E+00    0.48    0.00    0.00   13.15   0.0000000E+00    0.00    0.16  326.85    0.00   48.10    0.0000000E+00    0.00    0.00   49500.00
     1    5 1990   13.20    0.00   0.0000000E+00    0.07    0.00    0.00   12.70   0.0000000E+00    0.00    0.15  313.93    0.00   61.30    0.0000000E+00    0.00    0.00   49500.00
     1    6 1990   25.90    0.00   0.0000000E+00    0.91    0.00    0.00   12.33   0.0000000E+00    0.00    0.15  300.55    0.00   87.20    0.0000000E+00    0.00    0.00   49500.00
     1    7 1990   21.80    0.00   0.0000000E+00    0.61    0.00    0.00   11.76   0.0000000E+00    0.00    0.14  288.04    0.00  109.00    0.0000000E+00    0.00    0.00   49500.00
     1    8 1990   27.20    0.00   0.0000000E+00    1.69    0.00    0.00   10.92   0.0000000E+00    0.00    0.12  275.30    0.00  136.20    0.0000000E+00    0.00    0.00   49500.00
     1    9 1990   18.30    0.00   0.0000000E+00    0.15    0.00    0.00    9.78   0.0000000E+00    0.00    0.10  265.27    0.00  154.50    0.0000000E+00    0.00    0.00   49500.00
     1   10 1990   13.70    6.49   0.0000000E+00    0.34    0.00    0.00    8.50   0.0000000E+00    0.00    0.08  262.84    0.00  161.71    0.0000000E+00    0.00    0.00   49500.00
     1   11 1990    0.00    0.00   0.0000000E+00    0.07    0.00    0.00    7.15   0.0000000E+00    0.00    0.06  255.57    0.00  161.71    0.0000000E+00    0.00    0.00   49500.00
     1   12 1990    0.00    0.00   0.0000000E+00    0.47    0.00    0.00    5.90   0.0000000E+00    0.00    0.04  249.17    0.00  161.71    0.0000000E+00    0.00    0.00   49500.00
     1   13 1990    6.10    0.00   0.0000000E+00    0.87    0.00    0.00    4.79   0.0000000E+00    0.00    0.02  243.49    0.00  167.81    0.0000000E+00    0.00    0.00   49500.00
     1   14 1990    7.10    0.00   0.0000000E+00    0.36    0.00    0.00    3.85   0.0000000E+00    0.00    0.00  239.28    0.00  174.91    0.0000000E+00    0.00    0.00   49500.00
     1   15 1990    0.00    0.00   0.0000000E+00    1.02    0.00    0.00    3.11   0.0000000E+00    0.00    0.00  235.15    0.00  174.91    0.0000000E+00    0.00    0.00   49500.00
     1   16 1990    0.00    0.00   0.0000000E+00    0.57    0.00    0.00    2.51   0.0000000E+00    0.00    0.00  232.06    0.00  174.91    0.0000000E+00    0.00    0.00   49500.00
     1   17 1990    0.00    0.00   0.0000000E+00    0.02    0.00    0.00    2.04   0.0000000E+00    0.00    0.00  230.00    0.00  174.91    0.0000000E+00    0.00    0.00   49500.00
     1   18 1990    0.00    0.00   0.0000000E+00    0.23    0.00    0.00    1.64   0.0000000E+00    0.00    0.00  228.13    0.00  174.91    0.0000000E+00    0.00    0.00   49500.00
     1   19 1990    0.00    0.00   0.0000000E+00    0.37    0.00    0.00    1.28   0.0000000E+00    0.00    0.00  226.48    0.00  174.91    0.0000000E+00    0.00    0.00   49500.00
     1   20 1990    0.00    0.00   0.0000000E+00    0.50    0.00    0.00    0.97   0.0000000E+00    0.00    0.00  225.00    0.00  174.91    0.0000000E+00    0.00    0.00   49500.00
     1   21 1990    0.00    0.00   0.0000000E+00    0.08    0.00    0.00    0.82   0.0000000E+00    0.00    0.00  224.11    0.00  174.91    0.0000000E+00    0.00    0.00   49500.00
     1   22 1990   21.10    0.00   0.0000000E+00    0.84    0.00    0.00    0.81   0.0000000E+00    0.00    0.00  222.46    0.00  196.01    0.0000000E+00    0.00    0.00   49500.00
     1   23 1990    9.40    0.00   0.0000000E+00    1.22    0.00    0.00    0.73   0.0000000E+00    0.00    0.00  220.51    0.00  205.41    0.0000000E+00    0.00    0.00   49500.00
     1   24 1990    7.40    0.00   0.0000000E+00    1.23    0.00    0.00    0.55   0.0000000E+00    0.00    0.00  218.74    0.00  212.81    0.0000000E+00    0.00    0.00   49500.00
     1   25 1990   15.50    0.00   0.0000000E+00    0.54    0.00    0.00    0.33   0.0000000E+00    0.00    0.00  217.87    0.00  228.31    0.0000000E+00    0.00    0.00   49500.00
     1   26 1990    9.10    0.00   0.0000000E+00    0.33    0.00    0.00    0.16   0.0000000E+00    0.00    0.00  217.38    0.00  237.41    0.0000000E+00    0.00    0.00   49500.00
     1   27 1990   14.00    0.00   0.0000000E+00    1.11    0.00    0.00    0.07   0.0000000E+00    0.00    0.00  216.20    0.00  251.41    0.0000000E+00    0.00    0.00   49500.00
     1   28 1990   28.70    0.00   0.0000000E+00    2.16    0.00    0.00    0.01   0.0000000E+00    0.00    0.00  214.03    0.00  280.11    0.0000000E+00    0.00    0.00   49500.00
     1   29 1990   20.80    0.00   0.0000000E+00    0.53    0.00    0.00    0.00   0.0000000E+00    0.00    0.00  213.50    0.00  300.91    0.0000000E+00    0.00    0.00   49500.00
     1   30 1990   13.50    0.00   0.0000000E+00    1.35    0.00    0.00    0.00   0.0000000E+00    0.00    0.00  212.16    0.00  314.41    0.0000000E+00    0.00    0.00   49500.00
