 DAILY WATER BALANCE - HOURLY SEEPAGE UPDATE FROM UI

 J=julian day, Y=simulation year
 P= precipitation       
 RM=rainfall+irrigation+snowmelt
 Q=daily runoff over eff length, Ep=plant transpiration
 Es=soil evaporation, Er=residue evaporation
 Dp=deep percolationlatqcc=lateral subsurface flow 
 UpStrmQ=Runon added to OFE
 SubRIn=Subsurface runon added to OFE
 Total Soil Water=Unfrozen water in soil profile
 frozwt=Frozen water in soil profile
 Snow Water=Water in surface snow
 QOFE=daily runoff scaled to single OFE 
 Tile=Tile drainage (mm)
 Irr=Irigation (mm)
 Area=Area that depths apply over (m^2)

 ----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  OFE    J    Y      P      RM     Q                Ep      Es      Er     Dp       UpStrmQ   SubRIn    latqcc Total-Soil frozwt Snow-Water QOFE            Tile    Irr        Area
  #      -    -      mm     mm     mm               mm      mm      mm       mm      mm           mm      mm   Water(mm)   mm        mm      mm             mm      mm         m^2
 ----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------

     1    1 1990   16.00    0.00   0.0000000E+00    1.29    0.00    0.00   18.10   0.0000000E+00    0.00    0.10  372.07    0.00   16.00    0.0000000E+00    0.00    0.00   55800.00
     1    2 1990    8.40    0.00   0.0000000E+00    0.14    0.00    0.00   15.52   0.0000000E+00    0.00    0.08  356.33    0.00   24.40    0.0000000E+00    0.00    0.00   55800.00
     1    3 1990    8.90    0.00   0.0000000E+00    1.29    0.00    0.00   13.97   0.0000000E+00    0.00    0.07  341.00    0.00   33.30    0.0000000E+00    0.00    0.00   55800.00
     1    4 1990   14.00    0.00   0.0000000E+00    0.48    0.00    0.00   13.15   0.0000000E+00    0.00    0.06  327.31    0.00   47.30    0.0000000E+00    0.00    0.00   55800.00
     1    5 1990   13.00    0.00   0.0000000E+00    0.07    0.00    0.00   12.70   0.0000000E+00    0.00    0.06  314.47    0.00   60.30    0.0000000E+00    0.00    0.00   55800.00
     1    6 1990   25.90    0.00   0.0000000E+00    0.86    0.00    0.00   12.33   0.0000000E+00    0.00    0.06  301.22    0.00   86.20    0.0000000E+00    0.00    0.00   55800.00
     1    7 1990   21.30    0.00   0.0000000E+00    0.61    0.00    0.00   11.78   0.0000000E+00    0.00    0.06  288.76    0.00  107.50    0.0000000E+00    0.00    0.00   55800.00
     1    8 1990   26.90    0.00   0.0000000E+00    1.69    0.00    0.00   10.95   0.0000000E+00    0.00    0.05  276.07    0.00  134.40    0.0000000E+00    0.00    0.00   55800.00
     1    9 1990   18.00    0.00   0.0000000E+00    0.15    0.00    0.00    9.82   0.0000000E+00    0.00    0.04  266.06    0.00  152.40    0.0000000E+00    0.00    0.00   55800.00
     1   10 1990   14.00    7.37   0.0000000E+00    0.33    0.00    0.00    8.56   0.0000000E+00    0.00    0.03  264.50    0.00  159.03    0.0000000E+00    0.00    0.00   55800.00
     1   11 1990    0.00    0.00   0.0000000E+00    0.07    0.00    0.00    7.25   0.0000000E+00    0.00    0.02  257.17    0.00  159.03    0.0000000E+00    0.00    0.00   55800.00
     1   12 1990    0.00    0.00   0.0000000E+00    0.47    0.00    0.00    6.07   0.0000000E+00    0.00    0.02  250.61    0.00  159.03    0.0000000E+00    0.00    0.00   55800.00
