 DAILY WATER BALANCE - HOURLY SEEPAGE UPDATE FROM UI

 J=julian day, Y=simulation year
 P= precipitation       
 RM=rainfall+irrigation+snowmelt
 Q=daily runoff over eff length, Ep=plant transpiration
 Es=soil evaporation, Er=residue evaporation
 Dp=deep percolationlatqcc=lateral subsurface flow 
 UpStrmQ=Runon added to OFE
 SubRIn=Subsurface runon added to OFE
 Total Soil Water=Unfrozen water in soil profile
 frozwt=Frozen water in soil profile
 Snow Water=Water in surface snow
 QOFE=daily runoff scaled to single OFE 
 Tile=Tile drainage (mm)
 Irr=Irigation (mm)
 Area=Area that depths apply over (m^2)

 ----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  OFE    J    Y      P      RM     Q                Ep      Es      Er     Dp       UpStrmQ   SubRIn    latqcc Total-Soil frozwt Snow-Water QOFE            Tile    Irr        Area
  #      -    -      mm     mm     mm               mm      mm      mm       mm      mm           mm      mm   Water(mm)   mm        mm      mm             mm      mm         m^2
 ----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------

     1    1 1990   16.00    0.00   0.0000000E+00    1.29    0.00    0.00   11.57   0.0000000E+00    0.00    0.09  383.78    0.00   16.00    0.0000000E+00    0.00    0.00   20700.00
     1    2 1990    8.90    0.00   0.0000000E+00    0.16    0.00    0.00   11.71   0.0000000E+00    0.00    0.09  371.83    0.00   24.90    0.0000000E+00    0.00    0.00   20700.00
     1    3 1990    9.10    0.00   0.0000000E+00    1.29    0.00    0.00   12.70   0.0000000E+00    0.00    0.10  357.75    0.00   34.00    0.0000000E+00    0.00    0.00   20700.00
     1    4 1990   14.00    0.00   0.0000000E+00    0.48    0.00    0.00   14.11   0.0000000E+00    0.00    0.12  343.04    0.00   48.00    0.0000000E+00    0.00    0.00   20700.00
     1    5 1990   13.00    0.00   0.0000000E+00    0.07    0.00    0.00   15.15   0.0000000E+00    0.00    0.13  327.69    0.00   61.00    0.0000000E+00    0.00    0.00   20700.00
     1    6 1990   26.90    0.00   0.0000000E+00    0.86    0.00    0.00   15.58   0.0000000E+00    0.00    0.13  311.12    0.00   87.90    0.0000000E+00    0.00    0.00   20700.00
     1    7 1990   22.10    0.00   0.0000000E+00    0.63    0.00    0.00   15.35   0.0000000E+00    0.00    0.13  295.00    0.00  110.00    0.0000000E+00    0.00    0.00   20700.00
     1    8 1990   26.90    0.00   0.0000000E+00    1.69    0.00    0.00   14.54   0.0000000E+00    0.00    0.12  278.65    0.00  136.90    0.0000000E+00    0.00    0.00   20700.00
     1    9 1990   18.00    0.00   0.0000000E+00    0.20    0.00    0.00   13.20   0.0000000E+00    0.00    0.10  265.15    0.00  154.90    0.0000000E+00    0.00    0.00   20700.00
     1   10 1990   13.20    6.95   0.0000000E+00    0.36    0.00    0.00   11.53   0.0000000E+00    0.00    0.09  260.11    0.00  161.15    0.0000000E+00    0.00    0.00   20700.00
     1   11 1990    0.00    0.00   0.0000000E+00    0.13    0.00    0.00    9.64   0.0000000E+00    0.00    0.06  250.27    0.00  161.15    0.0000000E+00    0.00    0.00   20700.00
     1   12 1990    0.00    0.00   0.0000000E+00    0.51    0.00    0.00    7.78   0.0000000E+00    0.00    0.04  241.94    0.00  161.15    0.0000000E+00    0.00    0.00   20700.00
     1   13 1990    6.10    0.00   0.0000000E+00    0.89    0.00    0.00    6.29   0.0000000E+00    0.00    0.03  234.73    0.00  167.25    0.0000000E+00    0.00    0.00   20700.00
     1   14 1990    7.10    0.00   0.0000000E+00    0.36    0.00    0.00    5.07   0.0000000E+00    0.00    0.01  229.28    0.00  174.35    0.0000000E+00    0.00    0.00   20700.00
     1   15 1990    0.00    0.00   0.0000000E+00    1.06    0.00    0.00    4.08   0.0000000E+00    0.00    0.00  224.14    0.00  174.35    0.0000000E+00    0.00    0.00   20700.00
     1   16 1990    0.00    0.00   0.0000000E+00    0.64    0.00    0.00    3.22   0.0000000E+00    0.00    0.00  220.28    0.00  174.35    0.0000000E+00    0.00    0.00   20700.00
     1   17 1990    0.00    0.00   0.0000000E+00    0.08    0.00    0.00    2.49   0.0000000E+00    0.00    0.00  217.71    0.00  174.35    0.0000000E+00    0.00    0.00   20700.00
     1   18 1990    0.00    0.00   0.0000000E+00    0.27    0.00    0.00    1.86   0.0000000E+00    0.00    0.00  215.58    0.00  174.35    0.0000000E+00    0.00    0.00   20700.00
     1   19 1990    0.00    0.00   0.0000000E+00    0.44    0.00    0.00    1.28   0.0000000E+00    0.00    0.00  213.86    0.00  174.35    0.0000000E+00    0.00    0.00   20700.00
     1   20 1990    0.00    0.00   0.0000000E+00    0.53    0.00    0.00    0.85   0.0000000E+00    0.00    0.00  212.47    0.00  174.35    0.0000000E+00    0.00    0.00   20700.00
     1   21 1990    0.00    0.00   0.0000000E+00    0.14    0.00    0.00    0.63   0.0000000E+00    0.00    0.00  211.70    0.00  174.35    0.0000000E+00    0.00    0.00   20700.00
     1   22 1990   21.10    0.00   0.0000000E+00    0.92    0.00    0.00    0.54   0.0000000E+00    0.00    0.00  210.24    0.00  195.45    0.0000000E+00    0.00    0.00   20700.00
     1   23 1990    9.10    0.00   0.0000000E+00    1.31    0.00    0.00    0.51   0.0000000E+00    0.00    0.00  208.42    0.00  204.55    0.0000000E+00    0.00    0.00   20700.00
     1   24 1990    7.10    0.00   0.0000000E+00    1.32    0.00    0.00    0.46   0.0000000E+00    0.00    0.00  206.64    0.00  211.65    0.0000000E+00    0.00    0.00   20700.00
     1   25 1990   16.00    0.00   0.0000000E+00    0.70    0.00    0.00    0.33   0.0000000E+00    0.00    0.00  205.60    0.00  227.65    0.0000000E+00    0.00    0.00   20700.00
     1   26 1990    8.90    0.00   0.0000000E+00    0.59    0.00    0.00    0.20   0.0000000E+00    0.00    0.00  204.81    0.00  236.55    0.0000000E+00    0.00    0.00   20700.00
     1   27 1990   14.00    0.00   0.0000000E+00    1.13    0.00    0.00    0.10   0.0000000E+00    0.00    0.00  203.58    0.00  250.55    0.0000000E+00    0.00    0.00   20700.00
     1   28 1990   29.00    0.00   0.0000000E+00    2.32    0.00    0.00    0.02   0.0000000E+00    0.00    0.00  201.24    0.00  279.55    0.0000000E+00    0.00    0.00   20700.00
     1   29 1990   21.10    0.00   0.0000000E+00    0.69    0.00    0.00    0.00   0.0000000E+00    0.00    0.00  200.55    0.00  300.65    0.0000000E+00    0.00    0.00   20700.00
     1   30 1990   14.00    0.00   0.0000000E+00    1.50    0.00    0.00    0.00   0.0000000E+00    0.00    0.00  199.05    0.00  314.65    0.0000000E+00    0.00    0.00   20700.00
     1   31 1990   10.90    0.00   0.0000000E+00    1.20    0.00    0.00    0.00   0.0000000E+00    0.00    0.00  197.84    0.00  325.55    0.0000000E+00    0.00    0.00   20700.00
     1   32 1990    9.90    0.00   0.0000000E+00    1.05    0.00    0.00    0.00   0.0000000E+00    0.00    0.00  196.80    0.00  335.45    0.0000000E+00    0.00    0.00   20700.00
