 DAILY WATER BALANCE - HOURLY SEEPAGE UPDATE FROM UI

 J=julian day, Y=simulation year
 P= precipitation       
 RM=rainfall+irrigation+snowmelt
 Q=daily runoff over eff length, Ep=plant transpiration
 Es=soil evaporation, Er=residue evaporation
 Dp=deep percolationlatqcc=lateral subsurface flow 
 UpStrmQ=Runon added to OFE
 SubRIn=Subsurface runon added to OFE
 Total Soil Water=Unfrozen water in soil profile
 frozwt=Frozen water in soil profile
 Snow Water=Water in surface snow
 QOFE=daily runoff scaled to single OFE 
 Tile=Tile drainage (mm)
 Irr=Irigation (mm)
 Area=Area that depths apply over (m^2)

 ----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  OFE    J    Y      P      RM     Q                Ep      Es      Er     Dp       UpStrmQ   SubRIn    latqcc Total-Soil frozwt Snow-Water QOFE            Tile    Irr        Area
  #      -    -      mm     mm     mm               mm      mm      mm       mm      mm           mm      mm   Water(mm)   mm        mm      mm             mm      mm         m^2
 ----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------

     1    1 1990   16.50    0.00   0.0000000E+00    1.29    0.00    0.00   18.10   0.0000000E+00    0.00    0.15  372.02    0.00   16.50    0.0000000E+00    0.00    0.00   39600.00
     1    2 1990    8.60    0.00   0.0000000E+00    0.14    0.00    0.00   15.52   0.0000000E+00    0.00    0.13  356.22    0.00   25.10    0.0000000E+00    0.00    0.00   39600.00
     1    3 1990    9.70    0.00   0.0000000E+00    1.24    0.00    0.00   13.97   0.0000000E+00    0.00    0.11  340.90    0.00   34.80    0.0000000E+00    0.00    0.00   39600.00
     1    4 1990   14.50    0.00   0.0000000E+00    0.47    0.00    0.00   13.15   0.0000000E+00    0.00    0.10  327.18    0.00   49.30    0.0000000E+00    0.00    0.00   39600.00
     1    5 1990   13.50    0.00   0.0000000E+00    0.07    0.00    0.00   12.70   0.0000000E+00    0.00    0.10  314.31    0.00   62.80    0.0000000E+00    0.00    0.00   39600.00
     1    6 1990   26.20    0.00   0.0000000E+00    0.91    0.00    0.00   12.33   0.0000000E+00    0.00    0.09  300.97    0.00   89.00    0.0000000E+00    0.00    0.00   39600.00
     1    7 1990   22.40    0.00   0.0000000E+00    0.57    0.00    0.00   11.78   0.0000000E+00    0.00    0.09  288.54    0.00  111.40    0.0000000E+00    0.00    0.00   39600.00
     1    8 1990   27.40    0.00   0.0000000E+00    1.69    0.00    0.00   10.95   0.0000000E+00    0.00    0.08  275.82    0.00  138.80    0.0000000E+00    0.00    0.00   39600.00
     1    9 1990   18.50    0.00   0.0000000E+00    0.13    0.00    0.00    9.81   0.0000000E+00    0.00    0.07  265.81    0.00  157.30    0.0000000E+00    0.00    0.00   39600.00
     1   10 1990   14.00    6.63   0.0000000E+00    0.34    0.00    0.00    8.54   0.0000000E+00    0.00    0.05  263.52    0.00  164.67    0.0000000E+00    0.00    0.00   39600.00
     1   11 1990    0.00    0.00   0.0000000E+00    0.07    0.00    0.00    7.22   0.0000000E+00    0.00    0.04  256.20    0.00  164.67    0.0000000E+00    0.00    0.00   39600.00
     1   12 1990    0.00    0.00   0.0000000E+00    0.47    0.00    0.00    6.03   0.0000000E+00    0.00    0.02  249.68    0.00  164.67    0.0000000E+00    0.00    0.00   39600.00
     1   13 1990    6.10    0.00   0.0000000E+00    0.87    0.00    0.00    4.95   0.0000000E+00    0.00    0.01  243.84    0.00  170.77    0.0000000E+00    0.00    0.00   39600.00
     1   14 1990    7.10    0.00   0.0000000E+00    0.36    0.00    0.00    3.99   0.0000000E+00    0.00    0.00  239.49    0.00  177.87    0.0000000E+00    0.00    0.00   39600.00
     1   15 1990    0.00    0.00   0.0000000E+00    1.02    0.00    0.00    3.20   0.0000000E+00    0.00    0.00  235.26    0.00  177.87    0.0000000E+00    0.00    0.00   39600.00
     1   16 1990    0.00    0.00   0.0000000E+00    0.57    0.00    0.00    2.56   0.0000000E+00    0.00    0.00  232.13    0.00  177.87    0.0000000E+00    0.00    0.00   39600.00
     1   17 1990    0.00    0.00   0.0000000E+00    0.03    0.00    0.00    2.06   0.0000000E+00    0.00    0.00  230.04    0.00  177.87    0.0000000E+00    0.00    0.00   39600.00
     1   18 1990    0.00    0.00   0.0000000E+00    0.23    0.00    0.00    1.65   0.0000000E+00    0.00    0.00  228.16    0.00  177.87    0.0000000E+00    0.00    0.00   39600.00
     1   19 1990    0.00    0.00   0.0000000E+00    0.37    0.00    0.00    1.28   0.0000000E+00    0.00    0.00  226.51    0.00  177.87    0.0000000E+00    0.00    0.00   39600.00
     1   20 1990    0.00    0.00   0.0000000E+00    0.50    0.00    0.00    0.96   0.0000000E+00    0.00    0.00  225.05    0.00  177.87    0.0000000E+00    0.00    0.00   39600.00
     1   21 1990    0.00    0.00   0.0000000E+00    0.08    0.00    0.00    0.67   0.0000000E+00    0.00    0.00  224.31    0.00  177.87    0.0000000E+00    0.00    0.00   39600.00
